DAILY (ind),MONTHLY (ind),DAILY (μgC),month,DAILY(mgC),,units: ind/m**2/day
8.064516129,250,6.80E+00,MAY,6.80E-03,,gCm-2md-1
0.333333333,10,2.80E-01,JUN,2.80E-04,,"1 equals zero, I have 1 for log10 for plots"
166,4980,1.40E+02,JUL,1.40E-01,,
118.7096774,3680,1.00E+02,AUG,1.00E-01,,
22,660,1.90E+01,S,1.90E-02,,
1,0,1,O,1,,
10,100,8.50E+00,N,8.50E-03,,
369.9032258,11467,3.10E+02,D,3.10E-01,,
255.2272727,5615,2.20E+02,J,2.20E-01,,
1,1,1,F,1,,
1,1,1,M,1,,
1,1,1,A,1,,
1,1,1,MAY,1,,
362.5548387,11239.2,3.10E+02,D,3.10E-01,,
1,1,1,J,1,,
1,1,1,F,1,,
1,1,1,M,1,,
1,1,1,A,1,,
1.935483871,60,1.60E+00,MAY,1.60E-03,,
25,625,2.10E+01,JUN,2.10E-02,,
88.66666667,2660,7.50E+01,JUL,7.50E-02,,
142.9032258,4430,1.20E+02,AUG,1.20E-01,,
115.3333333,3460,9.70E+01,S,9.70E-02,,
54.5,1417,4.60E+01,O,4.60E-02,,
